                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1043,                  2.462,                 1.1164,                0.73341,                0.28824,                0.35847,                0.25806,                 1.0572,                 1.7345,                 1.1292,               0.050769,             0.00049728,             0.00049728
                      2,                 1.0335,                 1.2317,                 1.0882,                0.77915,                 0.7368,                0.80367,                0.59736,                0.97211,                0.87426,                 1.0686,              0.0012688,             0.00099704,             0.00099704
                      3,                 1.0093,                0.99981,                 1.0824,                0.89113,                0.80932,                0.87976,                0.66528,                0.92479,                 0.7201,                 1.0678,             0.00099902,             0.00099902,             0.00099902
                      4,                0.98423,                0.89206,                 1.0802,                  0.816,                0.85442,                0.90446,                0.67947,                0.93661,                0.73419,                 1.0823,             0.00099902,             0.00099902,             0.00099902
                      5,                0.98122,                0.83802,                 1.0781,                0.94527,                0.86819,                0.93421,                0.70866,                0.92905,                0.63571,                 1.0814,              0.0009978,              0.0009978,              0.0009978
                      6,                0.97897,                0.81027,                 1.0792,                0.91758,                0.89426,                0.94212,                0.71586,                0.91821,                0.60726,                 1.0836,              0.0009961,              0.0009961,              0.0009961
                      7,                0.96708,                0.76559,                 1.0768,                0.94578,                0.90132,                0.93966,                0.70887,                0.93483,                0.58322,                 1.0943,             0.00099391,             0.00099391,             0.00099391
                      8,                 0.9602,                0.74031,                 1.0748,                0.90884,                0.88192,                0.93311,                0.70358,                0.94276,                0.59663,                 1.1018,             0.00099123,             0.00099123,             0.00099123
                      9,                0.95825,                0.71977,                 1.0736,                0.92517,                0.92574,                0.94645,                0.71791,                0.91544,                0.53705,                 1.0936,             0.00098808,             0.00098808,             0.00098808
                     10,                0.94782,                0.70426,                 1.0751,                0.91331,                0.91589,                0.94835,                0.71748,                0.91249,                0.53988,                 1.0871,             0.00098445,             0.00098445,             0.00098445
                     11,                0.95212,                0.68592,                 1.0729,                0.92932,                0.92299,                0.95223,                0.71873,                 0.9328,                0.52722,                 1.1056,             0.00098035,             0.00098035,             0.00098035
                     12,                0.93939,                0.67922,                 1.0799,                 0.9266,                0.91748,                0.94145,                0.72041,                 0.9094,                0.53548,                 1.0942,             0.00097577,             0.00097577,             0.00097577
                     13,                0.94247,                 0.6696,                 1.0797,                0.92806,                 0.9228,                0.94591,                0.71076,                0.93428,                0.52482,                 1.1081,             0.00097074,             0.00097074,             0.00097074
                     14,                0.92848,                0.65788,                 1.0723,                0.93842,                0.93338,                0.94585,                0.71639,                0.91311,                0.50663,                 1.1014,             0.00096524,             0.00096524,             0.00096524
                     15,                0.93795,                0.65498,                  1.074,                0.92801,                0.92985,                0.95041,                0.72742,                0.90358,                0.50291,                 1.1067,             0.00095929,             0.00095929,             0.00095929
                     16,                0.92315,                0.64017,                 1.0692,                0.93594,                 0.9237,                0.95085,                0.71709,                0.92094,                0.49457,                 1.1111,             0.00095289,             0.00095289,             0.00095289
                     17,                0.92813,                0.62529,                 1.0756,                0.92192,                0.93357,                0.95395,                0.72929,                 0.9004,                0.48695,                  1.103,             0.00094605,             0.00094605,             0.00094605
                     18,                0.91632,                0.61311,                 1.0703,                0.93655,                0.92019,                0.94724,                0.72269,                0.91278,                0.48481,                 1.1102,             0.00093877,             0.00093877,             0.00093877
                     19,                0.91631,                0.60367,                 1.0666,                0.95651,                0.90249,                0.94871,                0.71869,                0.93398,                0.49439,                 1.1181,             0.00093107,             0.00093107,             0.00093107
                     20,                0.91965,                0.60352,                 1.0712,                0.91452,                0.94072,                0.95159,                0.72556,                0.90846,                0.47288,                 1.1092,             0.00092294,             0.00092294,             0.00092294
                     21,                0.90948,                  0.596,                 1.0651,                 0.9198,                0.92518,                0.94813,                0.71898,                0.92622,                 0.4785,                 1.1208,              0.0009144,              0.0009144,              0.0009144
                     22,                0.90673,                0.58551,                 1.0697,                0.94014,                0.92082,                0.94894,                0.72881,                0.90779,                0.47255,                 1.1186,             0.00090546,             0.00090546,             0.00090546
                     23,                0.90519,                0.58611,                 1.0656,                0.93868,                0.94477,                 0.9532,                0.73556,                0.90081,                0.47087,                 1.1074,             0.00089613,             0.00089613,             0.00089613
                     24,                0.90573,                0.58079,                 1.0671,                0.93074,                0.92368,                0.95092,                0.72482,                0.90616,                0.46073,                 1.1134,              0.0008864,              0.0008864,              0.0008864
                     25,                0.90598,                0.57553,                  1.063,                0.92697,                0.92415,                0.94921,                 0.7259,                0.89924,                0.45767,                 1.1057,              0.0008763,              0.0008763,              0.0008763
                     26,                 0.9044,                0.57366,                 1.0691,                0.93484,                0.92487,                0.94882,                 0.7221,                0.91427,                0.45779,                 1.1113,             0.00086584,             0.00086584,             0.00086584
                     27,                0.90569,                0.56226,                 1.0655,                0.93574,                0.91655,                0.94715,                0.72212,                 0.8992,                0.46012,                  1.102,             0.00085502,             0.00085502,             0.00085502
                     28,                0.89594,                0.56475,                 1.0585,                0.94536,                0.93611,                0.95434,                0.72791,                0.89864,                0.44084,                 1.1055,             0.00084385,             0.00084385,             0.00084385
                     29,                 0.8911,                 0.5553,                 1.0561,                0.92711,                0.94413,                0.95199,                0.73006,                0.90488,                0.43984,                 1.1068,             0.00083235,             0.00083235,             0.00083235
                     30,                0.90056,                0.55806,                 1.0605,                0.92294,                0.94778,                0.95281,                0.73036,                0.90339,                0.44379,                 1.1086,             0.00082052,             0.00082052,             0.00082052
                     31,                0.89886,                0.55489,                 1.0631,                 0.9334,                0.94058,                0.95478,                 0.7303,                0.90483,                0.44844,                 1.1116,             0.00080839,             0.00080839,             0.00080839
                     32,                 0.8897,                0.54359,                 1.0626,                0.93223,                 0.9334,                0.95426,                0.73495,                0.90476,                0.43984,                 1.1096,             0.00079595,             0.00079595,             0.00079595
                     33,                0.89012,                0.54236,                 1.0557,                0.92144,                0.92545,                0.94475,                0.72363,                0.90322,                0.44823,                 1.1117,             0.00078323,             0.00078323,             0.00078323
